answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,miscellaneous,انطاکیہ کالج,گرینیل کالج,ڈارٹ ماؤتھ کالج,اوبرلن کالج,سب سے پہلے امریکی کالج کونسا تھا جو کو ایجوکیشنل بنا؟
2,miscellaneous,ڈش واٹر سنہرے بالوں والی,سفید,سیاہ,براؤن,انکل سام کی بکری کا رنگ کیا ہے؟
1,miscellaneous,بڑے سبز اور نیلے رنگ میں رنگے ہوئے,تھوڑا بنایا,دوسرے لوگ,اپنے آپ کو,وجودیت پسند ڈرامے 'نو ایگزٹ' کی ایک مشہور سطر کے مطابق جہنم کیا ہے؟
3,miscellaneous,ہارلیم پنرجہرن,فطرت پرستی,ماورائیت,نیو انگلینڈ پیوریٹنزم,Zora Neale Hurston's Their Eyes Were Watching God کا ایک حوالہ درج ذیل ہے۔ لوگوں نے اسے آتے دیکھا کیونکہ سورج ڈوب رہا تھا۔ سورج ڈھل چکا تھا لیکن اس نے آسمان پر اپنے قدموں کے نشان چھوڑے تھے۔ سڑک کے کنارے برآمدے پر بیٹھنے کا وقت تھا۔ یہ باتیں سننے اور بات کرنے کا وقت تھا۔ یہ بیٹھنے والے دن بھر بے زبان، کانوں کے بغیر، بے آنکھوں سہولتوں سے محروم رہے۔ خچر اور دوسرے درندوں نے ان کی کھالوں پر قبضہ کر رکھا تھا۔ لیکن اب، سورج اور مالک چلے گئے تھے، لہذا کھالیں طاقتور اور انسانی محسوس ہوئیں. وہ آوازوں اور چھوٹی چیزوں کے مالک بن گئے۔ انہوں نے قوموں کو ان کے منہ سے گزارا۔ وہ فیصلے پر بیٹھ گئے۔ زورا نیل ہرسٹن کا تعلق درج ذیل میں سے کس ادبی تحریک سے ہے؟
1,miscellaneous,بڑا گھونٹ,بڑا ڈرنک,بڑا گلپ,بڑا Slurp,7-Eleven کمپنی کا اس کے انتہائی بڑے سوڈا کے لیے ٹریڈ مارک کیا نام ہے؟
0,miscellaneous,فلپائن,لاؤس,ویتنام,جاپان,جوڈو کا کھیل کس ایشیائی ملک سے آتا ہے؟
3,miscellaneous,سور کا گوشت,نمک,روٹی,پانی,مندرجہ ذیل مصنوعات میں سے کس کی مانگ سب سے زیادہ لچکدار ہونے کا امکان ہے؟
1,miscellaneous,جرمنی,بیلجیم,آئرلینڈ,انگلینڈ,راک گروپ U2 کس ملک سے ہے؟
1,miscellaneous,کیلشیم,ہڈی,ہاتھی دانت,مرجان,ہاتھی کے دانت کس مواد سے بنتے ہیں؟
2,miscellaneous,مانچسٹر,لیورپول,لیڈز,لندن,بیٹلس نے اصل میں کس شہر کو گھر کہا تھا؟
2,miscellaneous,قانون ساز,پارلیمانی,ایگزیکٹو,عدالتی,ان میں سے کون سی امریکی حکومت کی تین شاخوں میں سے ایک نہیں ہے؟
1,miscellaneous,1000,500,100,10,برطانوی کرنسی میں ایک پاؤنڈ کتنے پینس بنتا ہے؟
1,miscellaneous,وہ چچا اور بھتیجے ہیں۔,وہ باپ بیٹے ہیں۔,وہ بھائی ہیں۔,وہ کزن ہیں۔,اداکار چارلی شین اور ایمیلیو ایسٹیویز کا کیا تعلق ہے؟
3,miscellaneous,ہاتھ سے بنائی,crocheting,بریڈنگ,میکریم,مندرجہ ذیل میں سے کس کے لیے کم از کم دو سوئیوں کے استعمال کی ضرورت ہے؟
3,miscellaneous,قطب شمالی,اٹلانٹس,برمودا تکون,ماؤنٹ ایورسٹ,1909 میں فریڈرک کک نے دعویٰ کیا کہ وہ پہلا ایکسپلورر ہے جو کس مقام تک پہنچا؟
0,miscellaneous,مثبت فیڈ بیک,منفی رائے,بند لوپ,لوپ کھولیں۔,کپڑے کا ڈرائر جو 30 منٹ تک چلانے کے لیے مقرر کیا گیا ہے مندرجہ ذیل میں سے کس کنٹرول سسٹم کی مثال ہے؟
2,miscellaneous,51,50,48,13,امریکی پرچم پر کتنے ستارے ہیں؟
3,miscellaneous,جارج III,ایڈورڈ III,جیمز آئی,چارلس I,امریکی انقلاب کے وقت انگریز بادشاہ کون تھا؟
2,miscellaneous,ہاتھی,مینڈک,gerbil,گائے,ان میں سے کون سا جانور انڈے دیتا ہے؟
2,miscellaneous,کم خریداری کی قیمتیں۔,کم مارکیٹ کی قیمتیں۔,ناقص ریکارڈ رکھنا,کم فیڈ کی کارکردگی,ایک انٹرپرائز تجزیہ پچھلے سال ہاگس کو کھلائی جانے والی ہر $100 فیڈ کے لیے $151 کی اوسط واپسی اور اس سال hogs کو کھلائی جانے والی فیڈ کے ہر $100 کے لیے $130 کی واپسی کو ظاہر کرتا ہے۔ یہ فرض کرتے ہوئے کہ فیڈ کی قیمتیں مستحکم ہیں اور موت کے کوئی بڑے نقصانات نہیں ہیں، مندرجہ ذیل میں سے کون سا ریٹرن میں فرق کی سب سے زیادہ ممکنہ وضاحت ہے؟
1,miscellaneous,"$20,000,000,000","$2,000,000,000","$200,000,000","$20,000,000","اگر بیس بال گیم کے ٹکٹوں کی قیمت عام طور پر $10 اور $30 کے درمیان ہوتی ہے، ایک سیزن میں تقریباً 150 گیمز ہوتے ہیں، اور ہر گیم میں 50,000-75,000 لوگ شرکت کرتے ہیں، مندرجہ ذیل میں سے کون سا 150 گیمز کے لیے ٹکٹوں کی فروخت سے ہونے والی آمدنی کا ایک اچھا تخمینہ ہے؟"
2,miscellaneous,مین کوون,بیچون فریز,ترکی انگورا,فارسی,ان میں سے کون سی بلی کی نسل نہیں ہے؟
2,miscellaneous,"200,000,000,000","20,000,000,000","2,000,000,000","200,000,000",امریکہ میں ایک سال میں گھروں میں لگ بھگ کتنی فلمیں دیکھی جاتی ہیں؟
0,miscellaneous,کیریمل,نوگٹ,چاکلیٹ,بادام,ان میں سے کون سا Snickers کینڈی بار میں نہیں پایا جاتا؟
2,miscellaneous,نیلا,سرخ,سیاہ,سبز,بچوں کے کھیل میں 'روور' کون سا رنگ ہوتا ہے؟
2,miscellaneous,کشمش کی چوکر,چیریوس,چیکس,لائف کارن,مندرجہ ذیل میں سے کون سا ناشتے کا اناج حرف O جیسا ہوتا ہے؟
2,miscellaneous,4,3,2,1,عام طور پر، زلزلے کے مرکز کو منفرد طور پر تلاش کرنے کے لیے کم از کم کتنے سیسمک اسٹیشنوں سے S-P آمد کے وقفے درکار ہوتے ہیں؟
1,miscellaneous,راحیل,راس,مونیکا,جوئی,ٹی وی شو 'فرینڈز' کا کون سا کردار شیف ہے؟
1,miscellaneous,آمدنی غیر جانبدار,متناسب,ترقی پسند,رجعت پسند,"اگر ایک فرد کے لیے ٹیکس کی شرح $25,000 کے ساتھ قابل ٹیکس آمدنی 24 فیصد ہے، اور $20,000 قابل ٹیکس آمدنی والے واحد فرد کے لیے ٹیکس کی شرح 20 فیصد ہے، تو اس آمدنی کی حد سے زیادہ ٹیکس کی شرح"
3,miscellaneous,ادارہ پرستی,ساختیات,تصور پرستی,سرمایہ داری,جمالیاتی فلسفہ جو یہ دعوی کرتا ہے کہ آرٹ کے کام کی قدر کا تعین عجائب گھروں اور گیلریوں سے کیا جاتا ہے
3,miscellaneous,بڑا پیر,پلک,زبان,کان کی لو,آپ کا ہالکس کیا ہے؟
1,miscellaneous,کلب,لو جیک,ڈینور بوٹ,بروکلین کلیمپ,بار بار پارکنگ کے مجرموں کے پہیوں کو متحرک کرنے کے لیے پولیس کون سا دھاتی آلہ استعمال کرتی ہے؟
2,miscellaneous,تپ دق,ہیموفیلیا,خسرہ,رکٹس,کس بیماری کو کبھی کبھی 'شاہی بیماری' کہا جاتا ہے؟
3,miscellaneous,JPEG فارمیٹ ڈیٹا کو منتخب طور پر ضائع کر کے فائل کے سائز کو کمپریس کرتا ہے۔,ایک JPEG کمپریشن تصویر میں تفصیلات کو تیز کرتا ہے۔,ایک JPEG کمپریشن ڈیٹا کو دوبارہ ترتیب دے کر اصل تصویر کے تناسب کو تبدیل کرتا ہے۔,JPEG فارمیٹ صرف رنگین تصاویر کے لیے استعمال ہوتا ہے۔,مندرجہ ذیل میں سے کون سا بیان JPEG کمپریسڈ ڈیجیٹل تصویر کو درست طریقے سے بیان کرتا ہے؟
3,miscellaneous,رینگنے والے جانور اور amphibians,کیڑوں,خون,ہرپس,ہرپیٹولوجسٹ کیا مطالعہ کرتے ہیں؟
3,miscellaneous,چکن پاکس,Scoliosis,سرطان خون,Staphylococcus,ان میں سے کون سا وائرس ہے؟
1,miscellaneous,ٹیلی فون,دنیا,پیسے کی بوری,گللک,اجارہ داری بورڈ گیم میں حال ہی میں کون سا نیا ٹوکن شامل کیا گیا ہے؟
3,miscellaneous,عزت مآب',جناب عالی، حضور والا، عالی مقام',آپ کی عظمت,آپ کی عظمت',ڈیوک سے خطاب کرنے کا مناسب طریقہ کیا سمجھا جاتا ہے؟
2,miscellaneous,سب درست حرکات',تمام صدر کے مرد,تمام خوبصورت گھوڑے,تمام بادشاہ کے مرد,مندرجہ ذیل میں سے کون سا واٹر گیٹ اسکینڈل کے بارے میں ہے؟
1,miscellaneous,ایک prion,ایک وائرس,ایک پروٹوزوآن,ایک بیکٹیریم,بیماری toxoplasmosis کی کیا وجہ ہے؟
1,miscellaneous,کیتھ رچرڈز,جیف بیک,جیری گارسیا,ایرک کلاپٹن,ان میں سے کس راک گٹارسٹ نے مردوں کی نیکٹائی کی رنگین لائن ڈیزائن کی؟
1,miscellaneous,گھوڑوں پر شرط لگانا,ایک دشمن کو مارنا,پولیس والوں سے بات کر رہے ہیں۔,سیناترا کی نقالی کرنا,موبسٹر لنگو میں اگر آپ 'کینری کی طرح گاتے ہیں' تو آپ کیا کر رہے ہیں؟
1,miscellaneous,واشنگٹن ڈی سی,نیو اورلینز,سینٹ لوئیس,سیٹل,1804 میں لیوس اور کلارک نے اپنی مشہور مہم کہاں سے شروع کی؟
1,miscellaneous,رہوڈ آئی لینڈ,مونٹانا,ٹیکساس,نیویارک,ایک مشہور نعرے کے مطابق لوگوں کو کس ریاست سے 'گڑبڑ' نہیں کرنی چاہیے؟
1,miscellaneous,پیتل بیس بال,سلور بیٹ,گولڈ دستانے,ایک بالکل نئی کار,پرو بیس بال میں ہر سال جو کھلاڑی اپنی پوزیشن پر بہترین فیلڈر کے طور پر ووٹ دیتا ہے وہ کیا جیتتا ہے؟
0,miscellaneous,ہائی وے کی تعمیر میں استعمال ہونے والے اہم آلات اور آلات کی شناخت کریں۔,تکنیکی نظام کے اجزاء کی درجہ بندی کریں۔,متعدد تعمیراتی کیریئر کی وضاحت کریں جو گھر کی تعمیر سے متعلق ہیں۔,کم آمدنی والے، کثیر خاندانی رہائشی یونٹ کے تین جہتی ماڈل کو ڈیزائن اور تعمیر کریں۔,مندرجہ ذیل مقاصد میں سے، ٹیکنالوجی کی تعلیم کے پروگرام کے لیے کون سا زیادہ مناسب ہے جس کا مقصد طلباء کو موجودہ اور مستقبل کے سماجی مسائل کے لیے تخلیقی تکنیکی حل تیار کرنے کے قابل بنانا ہے؟
3,miscellaneous,رچرڈ نکسن,اینڈریو جانسن,اینڈریو جیکسن,مارٹن وان بورین,اس عہدے سے مستعفی ہونے والا پہلا امریکی صدر کون تھا؟
0,miscellaneous,2*10^6 کلوگرام/سال,2*10^5 کلوگرام/سال,2*10^4 کلوگرام/سال,2*10^3 کلوگرام/سال,ایک شخص کو پورے سال کے لیے کافی کیلوریز فراہم کرنے کے لیے کتنے کیلے کی ضرورت ہوگی؟
1,miscellaneous,10 منٹ,1 منٹ,10 سیکنڈ,1 سیکنڈ,ریاستہائے متحدہ کے اوسط شہری نے صدر کے طور پر کتنا عرصہ گزارا ہے؟
3,miscellaneous,محنت کش طبقہ,اعلی طبقے,رائلٹی,بے گھر,پرولتاریہ کیا ہے؟
0,miscellaneous,تاخیر,مسائل,قسمت,ایجاد,کہاوت کے مطابق ضرورت کس چیز کی ماں ہے؟
2,miscellaneous,میجر جنرل,لیفٹیننٹ جنرل,کارپورل جنرل,بریگیڈیئر جنرل,امریکی فوج میں جنرل کو تین ستارے پہننے کا حقدار کون سا درجہ دیتا ہے؟
0,miscellaneous,6#,6'',6,6',لکھنے کا دوسرا طریقہ کیا ہے - 'چھ فٹ'؟
1,miscellaneous,Joists,ہیڈرز,جڑیں,رافٹرز,تعمیر میں، پلیٹیں دیوار کے اوپر اور نیچے افقی ڈھانچے ہیں۔ مندرجہ ذیل میں سے کون سی عمودی ساختیں ہیں؟
0,miscellaneous,انڈونیشیا,ایران,انڈیا,چین,دنیا کا کون سا حصہ کبھی کیتھے کے نام سے جانا جاتا تھا؟
3,miscellaneous,ایک چکوترا,ایک پودا جو نائٹ شیڈ فیملی کا رکن ہے۔,ایک کرسٹل جیسے کوارٹج، جو معدنی رگ سے چپک جاتا ہے۔,ایک مچھلی نر شیڈ کی اولاد اور مادہ ہڈاک,شیڈاک کیا ہے؟
2,miscellaneous,دس,نو,آٹھ,سات,میجر لیگ بیس بال کے باقاعدہ کھیل میں کتنی اننگز ہوتی ہیں؟
2,miscellaneous,کمیونٹی میں سانپوں کی تعداد ٹڈڈیوں سے زیادہ ہے۔,ٹڈڈی ایک بنیادی صارف ہے۔,سانپ ایک ثانوی صارف ہے۔,مینڈک ایک سبزی خور ہے۔,مندرجہ ذیل میں سے کون سا بیان ایک ٹرافک ڈھانچے کے بارے میں درست ہے جس میں پتے کھانے والے ٹڈڈی کو مینڈک کھا جاتا ہے، جس کے نتیجے میں سانپ کھا جاتا ہے؟
